action	file	line	before	after	reason
CHANGED	src/app/action-centre/page.tsx	13	"The highest-value actions VYRON COST recommends right now."	"The highest-value actions VOLORA recommends right now."	user-visible brand text
CHANGED	src/app/admin/branding-designer/page.tsx	9	"Configure the branding every VYRON document and report inherits — logo, colours, and document text."	"Configure the branding every VOLORA document and report inherits — logo, colours, and document text."	user-visible brand text
CHANGED	src/app/ai-assistant/page.tsx	6	"VYRON AI Assistant"	"VOLORA AI Assistant"	user-visible brand text
CHANGED	src/app/ai-cfo-command-centre/page.tsx	13	"VYRON INTELLIGENCE · FINANCIAL HEALTH · LEAKAGE · NARRATIVES · ALERTS"	"VOLORA Intelligence · FINANCIAL HEALTH · LEAKAGE · NARRATIVES · ALERTS"	user-visible brand text
CHANGED	src/app/api/ask-vyron/route.ts	32	"Ask VYRON request failed."	"Ask VOLORA request failed."	user-visible brand text
KEPT	src/app/api/inventory/finished-goods/export/route.ts	70	"VYRON Client"		tenant-name fallback in an export (tenant data)
CHANGED	src/app/api/training-manual/route.ts	24	"VYRON COST — TRAINING MANUAL"	"VOLORA — TRAINING MANUAL"	user-visible brand text
CHANGED	src/app/api/training-manual/route.ts	40	'attachment; filename="VYRON-COST-Training-Manual.pdf"'	'attachment; filename="VOLORA-Training-Manual.pdf"'	user-visible brand text
CHANGED	src/app/api/vyron-core/command-centre/route.ts	17	"VYRON CORE command centre load failed."	"VOLORA Core command centre load failed."	user-visible brand text
CHANGED	src/app/api/workspace/login/route.ts	14	"No workspace is linked to this login. Contact your VYRON administrator."	"No workspace is linked to this login. Contact your VOLORA administrator."	user-visible brand text
CHANGED	src/app/api/workspace/restore-session/route.ts	14	"No workspace is linked to this login. Contact your VYRON administrator."	"No workspace is linked to this login. Contact your VOLORA administrator."	user-visible brand text
CHANGED	src/app/ask-vyron/page.tsx	15	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/app/client-demo-script/page.tsx	5	"Exact words and flow to use when presenting VYRON COST."	"Exact words and flow to use when presenting VOLORA."	user-visible brand text
CHANGED	src/app/client-demo-script/page.tsx	10	Most businesses know what they sell for, but not what every product truly costs today. VYRON COST connects suppliers, ingredients, BOMs, products, purchase orde	Most businesses know what they sell for, but not what every product truly costs today. VOLORA connects suppliers, ingredients, BOMs, products, purchase orders a	user-visible brand text
CHANGED	src/app/client-proposal/page.tsx	15	VYRON COST creates a live costing and profit intelligence platform across products, suppliers and invoices.	VOLORA creates a live costing and profit intelligence platform across products, suppliers and invoices.	user-visible brand text
CHANGED	src/app/customer-portal-access/page.tsx	11	"WHO CAN ORDER THROUGH VYRON ORDER, AND WHAT THEY SIGN IN WITH."	"WHO CAN ORDER THROUGH VOLORA Order, AND WHAT THEY SIGN IN WITH."	user-visible brand text
CHANGED	src/app/dashboard/page.tsx	28	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/app/email-invoice-inbox/page.tsx	6	"EMAIL TO VYRON · PDF QUEUE · REVIEW ROUTING"	"EMAIL TO VOLORA · PDF QUEUE · REVIEW ROUTING"	user-visible brand text
CHANGED	src/app/enterprise-platform/ai-assistant/page.tsx	10	"VYRON Enterprise AI"	"VOLORA Enterprise AI"	user-visible brand text
CHANGED	src/app/enterprise-platform/foundation/page.tsx	10	"VYRON COST · FINANCE · PAY · CORE · MAINT · FARM"	"VOLORA · FINANCE · PAY · CORE · MAINT · FARM"	user-visible brand text
CHANGED	src/app/enterprise-platform/page.tsx	10	"MULTI-COMPANY · GROUP · BENCHMARKING · AI · VYRON SUITE"	"MULTI-COMPANY · GROUP · BENCHMARKING · AI · VOLORA Suite"	user-visible brand text
CHANGED	src/app/financial-leakage/page.tsx	165	VYRON COST turns supplier movement, low GP products, invoice issues and wastage into a colourful, easy-to-action recovery plan.           	VOLORA turns supplier movement, low GP products, invoice issues and wastage into a colourful, easy-to-action recovery plan.           	user-visible brand text
CHANGED	src/app/go-live-readiness/page.tsx	5	"Final checklist before calling VYRON COST ready for a paying client."	"Final checklist before calling VOLORA ready for a paying client."	user-visible brand text
CHANGED	src/app/implementation-plan/page.tsx	5	"Simple rollout plan for a new VYRON COST client."	"Simple rollout plan for a new VOLORA client."	user-visible brand text
CHANGED	src/app/integrations/xero/page.tsx	21	"Connect VYRON COST to Xero for accounting-ready customers, suppliers, invoices, purchase bills and sync audit visibility."	"Connect VOLORA to Xero for accounting-ready customers, suppliers, invoices, purchase bills and sync audit visibility."	user-visible brand text
CHANGED	src/app/inventory-intelligence/page.tsx	17	"Open the operational stock pages without leaving the VYRON COST shell."	"Open the operational stock pages without leaving the VOLORA shell."	user-visible brand text
CHANGED	src/app/login/LoginClient.tsx	53	Sign in to your VYRON COST workspace with the email and password provided by your administrator.           	Sign in to your VOLORA workspace with the email and password provided by your administrator.           	user-visible brand text
CHANGED	src/app/order/page.tsx	12	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order/page.tsx	13	"Customer ordering for VYRON COST."	"Customer ordering for VOLORA."	user-visible brand text
CHANGED	src/app/order/page.tsx	54	VYRON	VOLORA	user-visible brand text
CHANGED	src/app/order/[tenant]/manifest.webmanifest/route.ts	43	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order/[tenant]/manifest.webmanifest/route.ts	44	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order/[tenant]/manifest.webmanifest/route.ts	46	}. Powered by VYRON COST.`	}. Powered by VOLORA.`	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	27	`VYRON ORDER · ${	`VOLORA Order · ${	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	27	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	29	}. Powered by VYRON COST.`	}. Powered by VOLORA.`	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	30	"Customer ordering for VYRON COST."	"Customer ordering for VOLORA."	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	31	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order/[tenant]/page.tsx	36	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
CHANGED	src/app/order-centre/page.tsx	11	"VYRON Order Centre"	"VOLORA Order Centre"	user-visible brand text
CHANGED	src/app/order-centre/page.tsx	12	"CUSTOMER ORDERS FROM VYRON ORDER, IN THE EXISTING SALES-ORDER ENGINE."	"CUSTOMER ORDERS FROM VOLORA Order, IN THE EXISTING SALES-ORDER ENGINE."	user-visible brand text
CHANGED	src/app/order-centre/[id]/page.tsx	16	"VYRON ORDER CENTRE"	"VOLORA Order Centre"	user-visible brand text
CHANGED	src/app/pilot-setup-plan/page.tsx	20	Compare VYRON COST calculations to current costing sheets.	Compare VOLORA calculations to current costing sheets.	user-visible brand text
CHANGED	src/app/platform-overview/page.tsx	5	"What VYRON COST Does"	"What VOLORA Does"	user-visible brand text
CHANGED	src/app/pricing/page.tsx	5	"Client-facing pricing structure for VYRON COST."	"Client-facing pricing structure for VOLORA."	user-visible brand text
CHANGED	src/app/recovery-opportunities/[id]/page.tsx	64	"This opportunity was detected from current VYRON COST data."	"This opportunity was detected from current VOLORA data."	user-visible brand text
CHANGED	src/app/training/page.tsx	16	"Simple training guide for using VYRON COST from start to finish."	"Simple training guide for using VOLORA from start to finish."	user-visible brand text
CHANGED	src/app/training/page.tsx	18	Open VYRON COST Academy →       	Open VOLORA Academy →       	user-visible brand text
CHANGED	src/app/vyron-academy/page.tsx	7	"VYRON COST Academy"	"VOLORA Academy"	user-visible brand text
CHANGED	src/app/vyron-core/command-centre/page.tsx	15	"VYRON CORE Executive Command Centre"	"VOLORA Core Executive Command Centre"	user-visible brand text
CHANGED	src/components/AccountingExportClient.tsx	26	"VYRON FINANCE"	"VOLORA Finance"	user-visible brand text
CHANGED	src/components/AccountingExportClient.tsx	74	"Premium VYRON COST workflow for accounting export."	"Premium VOLORA workflow for accounting export."	user-visible brand text
CHANGED	src/components/ActionCentreClient.tsx	54	"Premium VYRON COST workflow for action centre."	"Premium VOLORA workflow for action centre."	user-visible brand text
CHANGED	src/components/ActiveClientBanner.tsx	64	Return to VYRON DEV             	Return to VOLORA DEV             	user-visible brand text
CHANGED	src/components/admin/AiUsageDashboardClient.tsx	15	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
KEPT	src/components/admin/BrandingDesignerClient.tsx	26	"VYRON Indigo"		tenant document colour preset name (may be stored)
CHANGED	src/components/admin/ClientCompanySetupClient.tsx	645	Printed on invoices so customers know where to pay. SARS does not require these on a tax invoice, and they             are shown nowhere else in VYRON COST.    	Printed on invoices so customers know where to pay. SARS does not require these on a tax invoice, and they             are shown nowhere else in VOLORA.        	user-visible brand text
CHANGED	src/components/admin/ClientCompanySetupClient.tsx	665	Modules included in your package. Contact VYRON to upgrade.	Modules included in your package. Contact VOLORA to upgrade.	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	114	"Enter an accounting item code and choose a VYRON product."	"Enter an accounting item code and choose a VOLORA product."	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	301	"Premium VYRON COST workflow for client import centre."	"Premium VOLORA workflow for client import centre."	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	354	"Download Standard VYRON Customer Invoice Template"	"Download Standard VOLORA Customer Invoice Template"	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	356	"Download Standard VYRON Supplier Invoice Template"	"Download Standard VOLORA Supplier Invoice Template"	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	452	Accounting item code to VYRON product. Saved per company and reused by every future import.                   	Accounting item code to VOLORA product. Saved per company and reused by every future import.                   	user-visible brand text
CHANGED	src/components/admin/ClientImportCentreClient.tsx	466	Select VYRON product…	Select VOLORA product…	user-visible brand text
CHANGED	src/components/ai-financial/AiCfoCommandCentreClient.tsx	32	"Premium VYRON COST workflow for ai cfo command centre."	"Premium VOLORA workflow for ai cfo command centre."	user-visible brand text
CHANGED	src/components/ai-financial/AiCfoCommandCentreClient.tsx	38	VYRON Intelligence Score	VOLORA Intelligence Score	user-visible brand text
CHANGED	src/components/ai-financial/AiProfitLeakageClient.tsx	17	"Premium VYRON COST workflow for ai profit leakage."	"Premium VOLORA workflow for ai profit leakage."	user-visible brand text
CHANGED	src/components/AiAssistantClient.tsx	46	VYRON AI Workspace	VOLORA AI Workspace	user-visible brand text
CHANGED	src/components/AiAssistantClient.tsx	58	"Ask VYRON anything about margin, suppliers, recipes..."	"Ask VOLORA anything about margin, suppliers, recipes..."	user-visible brand text
CHANGED	src/components/AiOperatorActionsClient.tsx	26	These are the action routes VYRON AI can guide or execute next. This turns the assistant from answer-only into operator-ready.         	These are the action routes VOLORA AI can guide or execute next. This turns the assistant from answer-only into operator-ready.         	user-visible brand text
CHANGED	src/components/AiOperatorActionsClient.tsx	37	"Premium VYRON COST workflow for ai operator actions."	"Premium VOLORA workflow for ai operator actions."	user-visible brand text
CHANGED	src/components/AlertsCentreClient.tsx	54	"Premium VYRON COST workflow for alerts centre."	"Premium VOLORA workflow for alerts centre."	user-visible brand text
CHANGED	src/components/ApprovalCentreClient.tsx	76	"Premium VYRON COST workflow for approval centre."	"Premium VOLORA workflow for approval centre."	user-visible brand text
CHANGED	src/components/ArchiveInvoiceDetailClient.tsx	261	"Premium VYRON COST workflow for archive invoice detail."	"Premium VOLORA workflow for archive invoice detail."	user-visible brand text
CHANGED	src/components/AuditLogsClient.tsx	18	"VYRON Admin"	"VOLORA Admin"	user-visible brand text
